customer_id,tenure,monthly_charges,total_charges,num_products,num_complaints,days_since_last_login,contract,payment_method,internet_service,churn
C003039,15,103.71,1560.7,2,0,7,month-to-month,mailed_check,none,1
C009655,30,31.15,979.62,4,0,2,month-to-month,bank_transfer,fiber,0
C002545,29,50.53,1389.29,1,0,67,one-year,electronic_check,none,0
C002592,39,102.12,3913.9,5,1,80,month-to-month,credit_card,fiber,1
C001188,41,82.29,3377.23,5,0,70,one-year,electronic_check,fiber,0
C007966,16,78.36,1228.54,2,0,70,month-to-month,bank_transfer,fiber,1
C006077,14,72.0,1044.15,5,0,76,month-to-month,electronic_check,dsl,0
C000107,48,48.81,2456.87,5,0,22,one-year,mailed_check,dsl,0
C001315,22,70.58,1529.35,5,0,60,month-to-month,electronic_check,dsl,0
C008187,14,29.47,425.85,4,0,86,one-year,bank_transfer,dsl,0
C002753,47,104.87,4903.91,5,0,56,month-to-month,credit_card,fiber,0
C009753,16,107.98,1691.85,3,0,55,month-to-month,electronic_check,fiber,0
C006231,46,119.39,5545.32,5,1,44,two-year,bank_transfer,dsl,0
C002876,48,84.82,4159.16,2,1,50,month-to-month,credit_card,fiber,0
C005323,29,78.04,2219.69,3,0,17,month-to-month,mailed_check,fiber,0
C000799,32,59.61,1897.29,5,1,28,month-to-month,electronic_check,fiber,0
C003570,58,82.79,4750.28,5,0,20,two-year,credit_card,none,0
C002894,19,58.34,1167.84,1,0,35,one-year,credit_card,fiber,0
C002927,24,64.04,1650.82,1,1,89,two-year,electronic_check,dsl,0
C008178,49,43.46,2160.99,3,1,81,one-year,bank_transfer,fiber,0
C000971,31,24.68,712.8,4,1,88,one-year,bank_transfer,none,0
C006687,8,46.87,283.48,4,1,10,two-year,credit_card,fiber,0
C008575,16,102.91,1607.08,4,0,34,month-to-month,electronic_check,none,0
C002020,22,118.67,2691.3,2,0,64,month-to-month,bank_transfer,fiber,1
C009054,70,59.67,4228.43,3,0,74,month-to-month,electronic_check,none,0
C000952,45,65.8,2962.54,4,0,40,two-year,electronic_check,fiber,0
C005359,25,90.94,2300.05,3,1,81,month-to-month,credit_card,fiber,1
C003857,2,115.67,200.29,1,1,13,month-to-month,bank_transfer,fiber,1
C005861,43,96.24,4221.45,1,1,47,month-to-month,credit_card,none,0
C003145,40,78.36,3222.49,4,0,79,month-to-month,electronic_check,dsl,0
C003305,19,31.94,689.95,4,0,26,month-to-month,electronic_check,none,0
C003006,44,74.55,3228.99,1,0,89,month-to-month,electronic_check,none,0
C009001,2,91.11,218.37,3,1,0,month-to-month,mailed_check,fiber,0
C007770,17,75.01,1237.91,2,0,26,month-to-month,electronic_check,dsl,1
C007438,43,74.45,3098.33,4,0,61,month-to-month,bank_transfer,dsl,1
C007942,42,80.78,3338.84,3,0,22,month-to-month,bank_transfer,dsl,0
C009238,47,83.5,3951.61,4,0,58,two-year,mailed_check,fiber,0
C001056,33,33.42,1067.46,4,0,3,month-to-month,electronic_check,fiber,0
C003154,5,82.39,329.76,3,0,61,two-year,credit_card,none,0
C003787,2,85.93,133.23,3,0,58,one-year,bank_transfer,dsl,0
C009189,16,103.57,1733.98,2,1,21,month-to-month,electronic_check,dsl,0
C007825,63,103.85,6489.72,2,0,26,month-to-month,bank_transfer,dsl,0
C007539,46,86.42,4051.7,3,0,56,month-to-month,electronic_check,dsl,0
C007231,51,112.6,5795.82,3,0,0,month-to-month,bank_transfer,fiber,0
C000764,26,67.0,1670.91,5,0,7,month-to-month,credit_card,fiber,0
C005019,47,92.51,4449.76,1,1,67,month-to-month,mailed_check,dsl,0
C004903,52,70.14,3683.72,2,1,54,one-year,bank_transfer,none,0
C008093,18,96.1,1694.77,1,0,49,month-to-month,electronic_check,dsl,0
C006843,25,73.48,1787.53,4,0,71,one-year,mailed_check,dsl,0
C002165,67,61.74,4072.83,4,1,89,month-to-month,electronic_check,none,0
C001862,62,28.52,1838.66,3,0,8,month-to-month,electronic_check,fiber,0
C007850,23,91.07,2105.18,2,0,65,month-to-month,mailed_check,dsl,0
C009123,18,74.68,1313.82,2,0,3,one-year,mailed_check,fiber,0
C002340,31,74.68,2268.65,4,1,66,one-year,bank_transfer,fiber,0
C005527,23,85.25,1994.28,3,0,19,month-to-month,electronic_check,fiber,0
C006743,3,49.05,148.21,4,0,14,month-to-month,mailed_check,fiber,0
C004003,33,22.97,732.32,5,0,71,two-year,bank_transfer,fiber,0
C001123,18,54.17,1086.77,3,0,82,month-to-month,electronic_check,fiber,0
C008709,65,35.9,2371.86,5,0,88,month-to-month,credit_card,dsl,0
C004049,33,59.3,2016.78,1,0,15,month-to-month,bank_transfer,dsl,0
C007640,46,76.94,3478.96,1,0,4,two-year,electronic_check,none,0
C000765,57,61.33,3526.85,1,0,83,month-to-month,electronic_check,fiber,0
C002344,43,51.41,2300.52,4,2,35,month-to-month,mailed_check,fiber,0
C004071,57,52.17,2964.8,1,1,55,month-to-month,mailed_check,none,0
C007216,45,62.84,2759.08,2,1,68,one-year,bank_transfer,fiber,0
C004216,36,118.14,4205.97,3,0,69,month-to-month,mailed_check,none,1
C007952,66,44.0,2959.75,5,0,5,two-year,mailed_check,none,0
C005970,54,75.11,4087.39,5,0,62,two-year,mailed_check,dsl,0
C003350,12,110.39,1371.46,1,0,74,month-to-month,bank_transfer,none,1
C004695,61,58.28,3676.28,2,0,37,month-to-month,credit_card,dsl,0
C003399,52,99.58,5162.95,5,0,55,month-to-month,bank_transfer,none,0
C004081,21,56.06,1179.31,5,1,74,month-to-month,electronic_check,none,0
C009149,62,100.32,6322.38,4,1,64,month-to-month,mailed_check,dsl,0
C001224,31,70.97,2223.34,4,0,76,month-to-month,mailed_check,none,0
C006292,3,36.36,91.24,2,0,76,month-to-month,mailed_check,none,0
C003122,34,91.05,3125.88,1,0,75,one-year,bank_transfer,fiber,0
C000510,72,30.11,2186.06,2,0,56,one-year,mailed_check,dsl,0
C005794,30,34.66,1003.07,5,0,32,month-to-month,electronic_check,dsl,0
C008181,8,112.88,929.0,1,0,86,one-year,bank_transfer,dsl,0
C009417,13,94.11,1147.75,4,0,80,month-to-month,mailed_check,fiber,1
C000096,18,88.94,1561.04,2,2,40,two-year,electronic_check,fiber,0
C006681,25,65.18,1688.57,4,0,82,month-to-month,electronic_check,none,0
C001512,54,37.94,2002.54,2,0,15,one-year,mailed_check,fiber,0
C008791,32,106.16,3396.4,4,0,50,one-year,electronic_check,fiber,0
C000119,9,70.61,693.67,4,1,66,month-to-month,mailed_check,fiber,0
C007791,45,34.81,1527.54,1,0,22,month-to-month,credit_card,none,0
C006517,41,63.06,2591.87,3,0,18,one-year,electronic_check,dsl,0
C000033,40,72.48,2853.33,1,2,82,one-year,electronic_check,fiber,0
C007887,44,43.66,1924.03,1,0,13,one-year,credit_card,fiber,0
C006830,45,32.68,1466.96,4,0,5,month-to-month,bank_transfer,fiber,0
C005421,70,38.78,2719.72,5,1,72,one-year,credit_card,fiber,0
C001068,25,48.88,1211.11,1,1,8,month-to-month,bank_transfer,dsl,0
C001347,51,92.71,4674.77,2,0,10,month-to-month,electronic_check,fiber,0
C004747,19,109.42,2078.76,1,1,35,month-to-month,credit_card,dsl,0
C006005,18,31.99,612.87,2,1,36,one-year,credit_card,none,0
C006039,17,104.77,1786.57,2,2,28,two-year,electronic_check,none,0
C003817,58,99.25,5744.02,4,0,71,month-to-month,bank_transfer,fiber,0
C008446,36,114.83,4178.66,5,1,26,month-to-month,mailed_check,fiber,1
C005269,38,42.32,1742.04,4,0,75,month-to-month,electronic_check,none,0
C006897,24,45.58,1053.1,4,1,64,one-year,bank_transfer,dsl,0
C005309,33,33.21,1093.82,5,0,59,month-to-month,credit_card,fiber,0
C000031,17,105.16,1742.64,5,0,21,month-to-month,mailed_check,fiber,0
C005674,36,114.89,4086.99,2,0,51,month-to-month,credit_card,fiber,1
C004386,19,108.67,2082.21,1,0,7,month-to-month,bank_transfer,dsl,0
C000029,32,22.55,781.91,4,1,75,month-to-month,electronic_check,fiber,0
C004202,25,64.69,1659.45,4,0,11,two-year,credit_card,dsl,0
C007507,55,70.67,3946.37,2,0,3,month-to-month,bank_transfer,dsl,0
C000735,49,115.23,5726.23,4,0,78,two-year,bank_transfer,dsl,0
C002067,66,114.74,7559.74,2,0,23,two-year,electronic_check,dsl,0
C000106,57,36.47,2106.37,3,0,76,month-to-month,credit_card,dsl,0
C009644,35,34.51,1069.36,5,0,4,month-to-month,bank_transfer,dsl,0
C008894,36,37.07,1359.74,3,0,7,month-to-month,electronic_check,fiber,0
C008020,21,109.11,2258.96,4,0,60,month-to-month,bank_transfer,dsl,1
C002232,68,39.68,2741.7,4,0,33,month-to-month,bank_transfer,dsl,0
C000993,32,110.79,3620.38,5,1,23,one-year,mailed_check,fiber,1
C009412,59,29.39,1713.72,5,0,14,month-to-month,bank_transfer,fiber,0
C007058,70,58.86,4153.24,5,0,77,one-year,bank_transfer,none,0
C006789,54,38.84,2008.79,4,0,2,month-to-month,bank_transfer,dsl,0
C000360,61,84.46,5119.44,5,0,76,month-to-month,mailed_check,fiber,0
C000304,40,21.23,858.56,3,0,70,month-to-month,electronic_check,none,0
C002627,1,110.19,152.36,2,1,18,month-to-month,credit_card,dsl,0
C008965,57,115.83,6579.07,3,0,1,month-to-month,bank_transfer,fiber,0
C004513,66,100.74,6555.98,4,0,68,two-year,mailed_check,dsl,0
C005910,15,91.04,1329.22,3,0,52,month-to-month,electronic_check,fiber,0
C008313,66,97.8,6450.43,1,0,2,month-to-month,credit_card,none,0
C003100,27,39.9,1153.74,1,0,18,two-year,credit_card,fiber,0
C005703,32,86.96,2799.19,5,0,22,two-year,mailed_check,fiber,0
C003898,22,51.94,1079.6,3,0,60,one-year,credit_card,fiber,0
C005440,38,50.4,1848.8,5,0,85,two-year,bank_transfer,fiber,0
C007930,25,75.14,1936.48,3,0,76,month-to-month,electronic_check,fiber,0
C000621,35,51.18,1770.17,3,2,14,month-to-month,bank_transfer,dsl,0
C007235,12,110.28,1328.54,5,0,18,two-year,bank_transfer,none,0
C002498,3,86.18,333.34,5,0,67,month-to-month,credit_card,dsl,0
C000713,56,88.6,4946.95,2,0,38,two-year,bank_transfer,none,0
C008403,59,87.66,5208.04,4,0,48,month-to-month,credit_card,none,0
C002855,6,99.21,612.28,4,0,65,month-to-month,mailed_check,dsl,0
C004269,37,107.25,3932.46,3,1,0,one-year,mailed_check,fiber,0
C002908,10,70.9,680.0,1,1,64,one-year,electronic_check,fiber,0
C008080,65,63.8,4108.38,2,0,82,month-to-month,mailed_check,none,0
C004516,26,108.46,2821.71,1,0,18,month-to-month,bank_transfer,fiber,0
C001261,67,33.84,2279.01,2,0,45,month-to-month,mailed_check,none,0
C003160,9,59.15,560.74,5,1,61,month-to-month,credit_card,fiber,0
C000970,22,58.56,1353.39,4,1,63,two-year,mailed_check,dsl,0
C003912,14,82.06,1174.72,2,0,8,month-to-month,bank_transfer,dsl,0
C005198,41,82.89,3388.25,5,0,76,two-year,electronic_check,none,0
C008846,18,96.14,1831.23,4,0,80,month-to-month,mailed_check,dsl,0
C000259,43,39.4,1643.38,1,1,53,month-to-month,bank_transfer,fiber,0
C003790,9,108.54,931.03,3,0,55,one-year,mailed_check,fiber,0
C009202,25,107.42,2653.79,2,0,26,month-to-month,credit_card,fiber,0
C000487,39,34.32,1294.36,5,0,37,two-year,mailed_check,fiber,0
C007907,52,90.19,4666.71,2,0,17,one-year,bank_transfer,fiber,0
C000518,35,34.56,1187.87,5,0,71,one-year,bank_transfer,none,0
C008342,15,26.17,388.07,3,0,46,month-to-month,electronic_check,fiber,0
C000311,49,45.09,2243.86,2,1,72,two-year,credit_card,fiber,0
C003231,16,40.88,658.94,1,1,33,two-year,bank_transfer,dsl,0
C007932,31,67.37,2090.23,2,0,10,two-year,electronic_check,dsl,0
C007457,52,60.17,3068.58,1,0,83,month-to-month,credit_card,fiber,0
C009783,21,101.5,2067.55,5,0,62,month-to-month,bank_transfer,dsl,0
C005183,65,24.92,1675.99,3,0,20,month-to-month,mailed_check,fiber,0
C008076,39,69.17,2743.06,2,0,29,one-year,electronic_check,none,0
C006501,70,72.0,5057.81,4,0,58,two-year,credit_card,dsl,0
C006790,63,91.62,5737.2,2,2,74,one-year,mailed_check,dsl,0
C007772,42,89.54,3803.48,3,0,88,month-to-month,electronic_check,dsl,0
C002737,14,64.04,938.98,3,0,65,month-to-month,credit_card,dsl,0
C007841,16,61.15,966.74,4,0,66,month-to-month,electronic_check,fiber,0
C006261,31,107.84,3355.0,4,0,40,month-to-month,electronic_check,dsl,0
C008205,41,62.03,2540.74,1,0,77,one-year,mailed_check,dsl,0
C001247,34,116.35,3903.45,3,0,5,two-year,electronic_check,none,0
C009335,25,32.33,781.49,4,0,56,month-to-month,electronic_check,dsl,0
C004194,41,68.67,2824.88,2,1,13,month-to-month,credit_card,dsl,0
C008000,47,58.56,2774.9,3,3,52,month-to-month,electronic_check,fiber,0
C007377,45,106.77,4838.04,3,0,60,one-year,bank_transfer,fiber,0
C003434,17,96.31,1635.0,2,0,89,month-to-month,electronic_check,dsl,0
C005381,69,81.43,5677.35,5,1,32,two-year,bank_transfer,fiber,0
C000958,70,86.81,6102.16,3,0,78,one-year,bank_transfer,fiber,0
C000416,70,23.13,1652.39,5,0,7,two-year,electronic_check,none,0
C005741,45,98.97,4500.97,3,0,38,month-to-month,bank_transfer,dsl,0
C006727,43,89.25,3774.63,3,0,77,one-year,credit_card,fiber,0
C004381,9,61.89,526.34,4,1,49,month-to-month,credit_card,fiber,0
C005196,68,29.91,2023.23,3,0,77,two-year,bank_transfer,dsl,0
C001112,14,46.12,612.87,3,1,29,month-to-month,mailed_check,fiber,0
C002688,46,57.4,2633.46,5,1,56,one-year,electronic_check,fiber,0
C006472,33,23.89,816.21,1,0,11,month-to-month,bank_transfer,fiber,0
C008819,12,100.63,1201.78,4,1,11,one-year,credit_card,none,0
C007807,39,112.07,4374.39,4,2,22,month-to-month,credit_card,none,0
C003410,6,88.58,489.98,4,1,2,two-year,credit_card,dsl,0
C000080,68,37.45,2574.5,4,0,11,month-to-month,bank_transfer,none,0
C004613,38,43.44,1657.7,5,0,3,two-year,bank_transfer,fiber,0
C001373,31,90.38,2833.82,3,1,87,month-to-month,mailed_check,dsl,0
C001509,50,77.54,3863.75,3,1,34,two-year,credit_card,none,0
C006442,39,46.78,1850.17,4,1,67,month-to-month,bank_transfer,fiber,0
C003070,31,62.43,1906.41,1,0,14,one-year,mailed_check,none,0
C003015,34,44.09,1478.48,5,1,48,month-to-month,mailed_check,fiber,0
C004822,66,73.38,4884.28,3,0,65,month-to-month,mailed_check,fiber,0
C007821,37,47.74,1764.74,2,0,40,month-to-month,mailed_check,fiber,0
C000092,61,54.37,3335.6,1,1,45,one-year,credit_card,dsl,0
C009420,34,112.25,3766.58,2,3,88,month-to-month,bank_transfer,dsl,1
C006599,2,28.93,15.42,3,0,37,one-year,mailed_check,fiber,0
C004442,50,90.55,4464.29,2,0,29,one-year,electronic_check,dsl,0
C007601,2,111.2,236.36,5,1,17,two-year,credit_card,none,0
C003834,11,59.01,601.58,5,1,53,month-to-month,bank_transfer,fiber,0
C009701,15,85.66,1274.97,2,1,52,two-year,electronic_check,none,0
C004321,33,48.25,1595.55,4,0,1,two-year,credit_card,dsl,0
C003393,14,90.14,1207.78,5,0,32,month-to-month,electronic_check,dsl,0
C004751,11,109.17,1092.89,3,0,33,one-year,mailed_check,fiber,1
C007228,66,107.58,7067.35,5,0,28,two-year,bank_transfer,dsl,0
C009190,10,25.86,340.33,4,0,7,two-year,mailed_check,none,0
C002360,47,67.91,3153.45,2,0,22,one-year,credit_card,none,0
C001147,56,52.64,2997.6,5,0,54,month-to-month,credit_card,none,0
C005665,34,82.31,2760.34,4,1,70,two-year,mailed_check,dsl,0
C008074,60,21.65,1281.92,1,1,62,month-to-month,credit_card,fiber,0
C004942,61,98.64,6036.53,3,0,24,one-year,bank_transfer,none,0
C003662,70,119.21,8339.31,1,0,23,one-year,mailed_check,dsl,0
C001562,18,31.81,633.48,5,0,32,two-year,mailed_check,fiber,0
C004112,11,69.77,781.06,5,2,64,month-to-month,bank_transfer,fiber,0
C009049,53,24.72,1338.25,1,1,53,two-year,electronic_check,none,0
C009275,50,91.69,4618.84,1,0,35,one-year,mailed_check,dsl,0
C008537,58,110.25,6431.37,5,2,33,two-year,electronic_check,fiber,0
C000794,32,97.19,3126.35,4,0,74,month-to-month,credit_card,fiber,1
C005853,50,92.46,4630.02,5,1,29,month-to-month,credit_card,dsl,0
C007618,19,47.55,892.59,2,0,67,two-year,bank_transfer,dsl,0
C001593,2,100.33,191.13,4,0,79,two-year,mailed_check,fiber,1
C007417,32,20.26,666.09,2,1,19,month-to-month,bank_transfer,dsl,0
C005266,40,67.31,2666.89,5,0,79,one-year,electronic_check,fiber,0
C007146,65,60.89,3977.5,3,0,10,month-to-month,bank_transfer,fiber,0
C000088,56,113.74,6439.29,3,0,13,month-to-month,bank_transfer,none,0
C008694,33,39.03,1189.41,1,0,84,one-year,credit_card,dsl,0
C009731,9,41.77,268.77,4,0,7,month-to-month,electronic_check,fiber,0
C009445,20,53.68,1119.62,4,0,79,one-year,credit_card,none,0
C006753,1,76.73,86.83,5,0,87,two-year,bank_transfer,none,0
C003501,47,97.76,4633.84,4,0,11,month-to-month,credit_card,dsl,0
C002233,10,57.39,474.78,3,1,52,two-year,bank_transfer,fiber,0
C002802,72,55.42,3957.03,5,0,52,month-to-month,mailed_check,fiber,0
C004423,33,40.33,1322.09,2,0,34,month-to-month,bank_transfer,dsl,0
C005662,62,119.23,7372.27,1,0,83,month-to-month,credit_card,dsl,0
C007169,66,81.25,5342.36,2,0,38,one-year,bank_transfer,fiber,0
C008336,29,31.31,840.22,4,0,6,one-year,credit_card,fiber,0
C002147,68,96.38,6450.5,3,1,44,month-to-month,mailed_check,dsl,0
C007968,1,25.61,23.75,5,1,61,two-year,credit_card,none,0
C006550,40,33.36,1267.34,2,0,83,month-to-month,mailed_check,fiber,0
C007642,31,52.38,1709.17,1,1,47,two-year,bank_transfer,dsl,0
C006163,9,113.14,1014.2,3,0,10,month-to-month,credit_card,dsl,0
C001494,30,104.79,3070.99,3,0,13,month-to-month,bank_transfer,fiber,0
C007695,51,100.68,5167.51,5,0,38,one-year,electronic_check,dsl,0
C007093,35,59.21,2152.34,4,0,16,one-year,mailed_check,fiber,0
C001408,1,84.91,42.39,1,0,36,one-year,credit_card,fiber,0
C006690,33,40.27,1331.09,2,0,42,two-year,electronic_check,none,0
C003400,59,70.38,4161.39,2,0,66,two-year,credit_card,dsl,0
C000108,34,71.0,2362.85,3,0,57,two-year,mailed_check,fiber,0
C005635,43,27.22,1123.36,3,0,23,month-to-month,bank_transfer,fiber,0
C008481,57,36.31,2119.16,1,1,26,two-year,electronic_check,fiber,0
C006603,23,119.36,2737.15,3,0,52,one-year,mailed_check,fiber,1
C001090,37,26.64,990.93,5,0,72,one-year,mailed_check,none,0
C005559,10,104.29,1092.51,1,0,64,one-year,bank_transfer,none,0
C009411,22,20.13,435.7,3,0,22,month-to-month,bank_transfer,fiber,0
C008142,30,38.36,1151.23,5,0,23,month-to-month,credit_card,dsl,0
C008663,68,61.23,4179.93,5,1,70,one-year,electronic_check,fiber,0
C006595,36,47.38,1660.09,3,0,74,one-year,bank_transfer,dsl,0
C000623,31,81.46,2444.46,1,0,24,month-to-month,credit_card,dsl,0
C006870,11,23.87,310.16,1,0,65,month-to-month,electronic_check,none,0
C004813,41,25.55,1044.14,3,0,46,month-to-month,mailed_check,dsl,0
C006552,13,77.64,988.54,4,3,82,month-to-month,bank_transfer,dsl,0
C007529,5,36.32,242.37,1,1,88,month-to-month,mailed_check,none,1
C005795,15,75.92,1122.54,1,1,55,month-to-month,credit_card,dsl,0
C007436,59,29.67,1726.41,4,0,37,one-year,credit_card,none,0
C004217,25,119.28,2915.64,3,1,54,month-to-month,credit_card,fiber,0
C005940,19,85.97,1695.65,2,1,82,month-to-month,mailed_check,dsl,0
C008500,20,102.92,2114.45,2,0,85,two-year,mailed_check,dsl,0
C006428,49,27.41,1289.21,1,1,83,one-year,electronic_check,fiber,0
C006826,39,67.0,2594.73,1,1,81,month-to-month,mailed_check,none,0
C004130,1,29.36,0.0,5,0,87,one-year,electronic_check,none,0
C007801,11,85.51,969.07,1,0,65,month-to-month,credit_card,none,0
C007753,1,34.81,19.23,5,0,15,one-year,electronic_check,dsl,0
C004721,60,118.82,7167.79,3,0,73,month-to-month,credit_card,none,0
C001650,14,86.07,1152.99,4,0,63,month-to-month,credit_card,dsl,0
C004140,53,63.54,3426.06,5,0,8,one-year,mailed_check,dsl,0
C001617,37,105.16,3966.97,1,0,55,month-to-month,electronic_check,fiber,0
C002029,25,109.97,2699.9,1,0,65,month-to-month,mailed_check,fiber,1
C008517,69,30.28,2061.13,2,2,52,month-to-month,electronic_check,fiber,0
C004575,56,75.51,4282.39,3,0,51,two-year,credit_card,fiber,0
C003992,11,34.13,323.97,2,0,24,one-year,credit_card,none,0
C007376,44,27.75,1194.04,1,0,75,one-year,electronic_check,fiber,0
C006149,63,89.07,5588.45,3,1,5,month-to-month,mailed_check,none,0
C004908,58,51.89,3118.73,1,0,71,month-to-month,electronic_check,fiber,0
C005026,19,112.57,2132.22,2,1,85,one-year,mailed_check,dsl,1
C008260,46,56.12,2701.61,3,1,1,month-to-month,bank_transfer,fiber,0
C004731,50,57.68,2905.96,4,0,38,two-year,credit_card,fiber,0
C007548,34,28.15,1011.88,5,0,42,month-to-month,mailed_check,dsl,0
C008134,54,31.63,1709.14,4,0,86,month-to-month,electronic_check,fiber,0
C001606,11,106.6,1146.97,5,0,27,month-to-month,credit_card,none,0
C004773,72,74.46,5329.88,5,0,30,one-year,electronic_check,fiber,0
C008109,60,32.69,1946.93,5,1,42,one-year,electronic_check,none,0
C006951,32,64.32,2043.1,1,0,36,month-to-month,mailed_check,dsl,0
C006004,34,94.22,3234.55,4,1,44,one-year,bank_transfer,fiber,1
C007728,16,63.61,1084.98,5,0,23,one-year,credit_card,none,0
C003541,42,20.75,844.92,3,1,56,two-year,bank_transfer,fiber,0
C000388,65,65.55,4206.45,3,0,22,one-year,electronic_check,dsl,0
C001794,35,83.18,2931.89,5,0,5,two-year,bank_transfer,fiber,0
C008731,9,62.13,578.57,1,0,28,one-year,mailed_check,fiber,0
C004919,38,109.13,4071.18,3,0,49,one-year,mailed_check,fiber,0
C005537,61,97.55,5953.1,3,0,79,month-to-month,mailed_check,fiber,0
C003872,63,21.63,1313.63,5,0,52,one-year,bank_transfer,dsl,0
C008868,54,33.54,1804.04,3,1,87,one-year,bank_transfer,fiber,0
C002254,22,73.77,1705.25,3,0,13,two-year,bank_transfer,fiber,0
C003412,16,83.7,1337.53,2,0,56,month-to-month,credit_card,fiber,1
C005459,65,82.59,5402.86,1,0,40,month-to-month,credit_card,dsl,0
C004955,14,67.66,965.38,2,0,8,one-year,electronic_check,fiber,0
C007396,35,42.35,1513.28,5,1,76,one-year,bank_transfer,dsl,0
C005414,23,50.97,1245.9,2,0,72,month-to-month,credit_card,fiber,0
C007399,31,79.2,2400.33,2,0,22,month-to-month,mailed_check,dsl,0
C007414,18,83.02,1502.41,2,0,18,month-to-month,bank_transfer,none,0
C009100,16,29.24,440.6,1,0,66,month-to-month,credit_card,none,0
C004851,53,89.82,4738.27,3,0,43,month-to-month,mailed_check,fiber,0
C002025,35,72.22,2553.39,1,0,81,month-to-month,bank_transfer,fiber,0
